0,1,2,3,4,5,6,7,8
1,19,0,3,1,0,2,0,0
1,18,0,1,1,0,1,1,2
1,19,0,2,1,0,1,0,0
1,18,1,1,3,1,3,1,3
1,18,0,2,1,0,2,0,1
1,18,0,1,0,0,0,0,0
1,18,0,1,1,0,0,0,0
1,19,0,1,0,0,1,0,0
1,20,0,1,2,0,1,0,2
1,19,0,1,1,0,0,0,0
1,18,0,1,0,0,0,0,0
1,18,1,1,1,0,0,0,0
1,19,0,2,1,0,0,0,0
1,18,0,1,1,0,1,1,0
1,18,0,1,2,0,2,0,2
1,18,0,1,1,0,0,1,0
1,18,1,1,1,0,2,0,1
1,18,1,1,1,0,1,0,0
1,18,0,1,1,0,0,0,0
1,18,0,2,1,0,0,0,0
1,18,0,1,0,0,0,0,0
1,18,1,2,1,0,2,1,3
1,18,0,1,0,0,0,0,0
1,19,0,1,1,0,2,0,1
1,18,1,1,2,1,3,1,3
1,19,1,1,0,0,0,0,0
1,20,1,2,3,1,2,1,3
1,18,0,5,0,0,0,0,0
1,18,0,1,0,0,0,0,0
1,19,1,1,0,0,0,0,0
1,21,0,2,0,0,0,0,0
1,18,0,1,1,0,0,0,0
1,18,0,2,0,0,0,0,0
1,18,0,1,1,0,0,0,0
1,19,0,1,0,0,0,0,0
1,19,0,1,0,0,0,0,0
1,18,0,1,0,0,1,1,0
1,19,1,2,1,0,1,0,0
1,19,0,1,1,0,3,0,1
1,18,1,1,2,0,1,0,0
1,18,1,1,1,0,1,1,2
1,19,1,1,2,0,1,0,0
1,18,0,1,0,0,0,0,0
1,18,1,1,1,0,0,0,0
1,18,1,1,0,0,0,0,0
1,20,1,1,1,0,0,0,0
1,18,0,1,0,0,0,0,0
1,18,1,1,1,0,2,1,3
1,18,1,1,1,1,1,0,2
1,18,1,1,1,0,1,1,0
1,19,1,2,2,0,2,0,1
1,19,0,0,0,0,1,0,0
1,18,1,2,2,0,2,1,3
1,19,1,1,1,0,0,0,0
1,19,1,1,1,0,2,0,1
1,19,1,1,1,0,0,0,0
1,19,1,0,1,0,1,1,0
1,19,1,1,1,0,1,0,0
1,19,1,1,1,0,1,0,0
1,18,0,1,0,0,1,0,0
1,18,0,1,2,0,2,0,2
1,18,1,0,0,0,1,0,0
1,20,0,5,2,1,2,0,2
1,24,1,1,1,0,0,0,0
1,19,1,1,2,1,1,0,2
1,19,1,5,1,0,1,1,2
1,19,0,2,1,0,0,0,0
1,20,1,1,2,0,3,0,3
1,18,0,1,0,0,0,0,0
1,19,1,1,0,0,0,0,0
1,20,0,3,4,1,1,1,2
1,19,1,1,3,0,1,1,2
1,19,1,1,1,0,2,1,1
1,20,1,1,0,0,0,0,0
1,20,0,1,1,0,2,0,0
1,19,1,1,0,0,1,0,0
1,18,0,1,1,0,1,0,0
1,18,1,2,0,0,0,0,0
1,20,1,4,1,0,2,0,1
1,20,1,1,0,0,1,0,0
1,18,0,1,0,0,0,0,0
1,19,0,1,2,0,2,0,2
1,18,1,1,1,0,0,0,0
1,18,1,2,1,0,0,0,0
1,18,0,1,2,0,2,0,3
1,19,0,1,2,1,2,0,2
1,18,1,2,2,0,3,0,1
1,19,0,1,0,0,0,0,0
1,18,1,2,1,0,1,0,0
1,20,1,1,1,0,2,1,1
1,19,1,3,0,0,0,0,0
1,18,0,1,0,0,0,0,0
1,18,1,2,1,0,0,0,0
1,19,1,1,2,0,1,1,2
1,18,0,1,1,0,1,0,0
1,19,0,2,3,0,2,1,3
1,18,0,1,1,0,1,0,0
1,18,1,1,1,0,1,0,0
1,18,0,2,1,0,2,0,0
1,18,1,1,1,0,1,0,0
1,19,0,1,1,0,1,1,2
1,19,0,2,1,0,0,0,0
1,18,0,1,0,0,0,0,0
1,19,1,1,1,0,0,0,0
1,19,1,2,2,0,1,0,2
1,18,0,1,0,0,0,0,0
1,18,0,1,0,0,0,0,0
1,18,1,3,1,0,2,0,1
1,18,0,2,2,1,1,0,2
1,18,0,1,0,0,0,0,0
1,18,1,2,2,0,3,0,1
1,18,1,1,2,0,2,0,1
1,18,1,1,1,0,0,0,0
1,18,0,2,1,0,1,0,0
1,18,0,1,0,0,0,0,0
1,18,1,1,1,0,1,1,2
1,18,0,1,1,0,1,0,0
1,18,1,1,1,0,3,1,3
